Industry,Industry Description
GDP,"Gross domestic product (A,Q)"
II,"All industries (A,Q)"
PVT,"Private industries (A,Q)"
11,"Agriculture, forestry, fishing, and hunting (A,Q)"
111CA,"Farms (A)"
113FF,"Forestry, fishing, and related activities (A)"
21,"Mining (A,Q)"
211,"Oil and gas extraction (A)"
212,"Mining, except oil and gas (A)"
213,"Support activities for mining (A)"
22,"Utilities (A,Q)"
23,"Construction (A,Q)"
31G,"Manufacturing (A,Q)"
33DG,"Durable goods (A,Q)"
321,"Wood products (A)"
327,"Nonmetallic mineral products (A)"
331,"Primary metals (A)"
332,"Fabricated metal products (A)"
333,"Machinery (A)"
334,"Computer and electronic products (A)"
335,"Electrical equipment, appliances, and components (A)"
3361MV,"Motor vehicles, bodies and trailers, and parts (A)"
3364OT,"Other transportation equipment (A)"
337,"Furniture and related products (A)"
339,"Miscellaneous manufacturing (A)"
31ND,"Nondurable goods (A,Q)"
311FT,"Food and beverage and tobacco products (A)"
313TT,"Textile mills and textile product mills (A)"
315AL,"Apparel and leather and allied products (A)"
322,"Paper products (A)"
323,"Printing and related support activities (A)"
324,"Petroleum and coal products (A)"
325,"Chemical products (A)"
326,"Plastics and rubber products (A)"
42,"Wholesale trade (A,Q)"
44RT,"Retail trade (A,Q)"
441,"Motor vehicle and parts dealers (A)"
445,"Food and beverage stores (A)"
452,"General merchandise stores (A)"
4A0,"Other retail (A)"
48TW,"Transportation and warehousing (A,Q)"
481,"Air transportation (A)"
482,"Rail transportation (A)"
483,"Water transportation (A)"
484,"Truck transportation (A)"
485,"Transit and ground passenger transportation (A)"
486,"Pipeline transportation (A)"
487OS,"Other transportation and support activities (A)"
493,"Warehousing and storage (A)"
51,"Information (A,Q)"
511,"Publishing industries, except internet (includes software) (A)"
512,"Motion picture and sound recording industries (A)"
513,"Broadcasting and telecommunications (A)"
514,"Data processing, internet publishing, and other information services (A)"
FIRE,"Finance, insurance, real estate, rental, and leasing (A,Q)"
52,"Finance and insurance (A,Q)"
521CI,"Federal Reserve banks, credit intermediation, and related activities (A)"
523,"Securities, commodity contracts, and investments (A)"
524,"Insurance carriers and related activities (A)"
525,"Funds, trusts, and other financial vehicles (A)"
53,"Real estate and rental and leasing (A,Q)"
531,"Real estate (A)"
HS,"Housing (A)"
ORE,"Other real estate (A)"
532RL,"Rental and leasing services and lessors of intangible assets (A)"
PROF,"Professional and business services (A,Q)"
54,"Professional, scientific, and technical services (A,Q)"
5411,"Legal services (A)"
5415,"Computer systems design and related services (A)"
5412OP,"Miscellaneous professional, scientific, and technical services (A)"
55,"Management of companies and enterprises (A,Q)"
56,"Administrative and waste management services (A,Q)"
561,"Administrative and support services (A)"
562,"Waste management and remediation services (A)"
6,"Educational services, health care, and social assistance (A,Q)"
61,"Educational services (A,Q)"
62,"Health care and social assistance (A,Q)"
621,"Ambulatory health care services (A)"
622,"Hospitals (A)"
623,"Nursing and residential care facilities (A)"
624,"Social assistance (A)"
7,"Arts, entertainment, recreation, accommodation, and food services (A,Q)"
71,"Arts, entertainment, and recreation (A,Q)"
711AS,"Performing arts, spectator sports, museums, and related activities (A)"
713,"Amusements, gambling, and recreation industries (A)"
72,"Accommodation and food services (A,Q)"
721,"Accommodation (A)"
722,"Food services and drinking places (A)"
81,"Other services, except government (A,Q)"
G,"Government (A,Q)"
GF,"Federal (A,Q)"
GFG,"General government (A)"
GFGD,"National defense (A)"
GFGN,"Nondefense (A)"
GFE,"Government enterprises (A)"
GSL,"State and local (A,Q)"
GSLG,"General government (A)"
GSLE,"Government enterprises (A)"
NABI,"Not allocated by industry [1] (A,Q)"
PGOOD,"Private goods-producing industries [2] (A,Q)"
PSERV,"Private services-producing industries [3] (A,Q)"
ICT,"Information-communications-technology-producing industries [4] (A)"
