Industry,Industry Description,Year,GDP (Billions Chained 2009)
11,"Agriculture, forestry, fishing, and hunting",2005,340.7
111CA,"Farms",2005,290.6
113FF,"Forestry, fishing, and related activities",2005,50.4
21,"Mining",2005,373.6
211,"Oil and gas extraction",2005,208.6
212,"Mining, except oil and gas",2005,118.1
213,"Support activities for mining",2005,53.5
22,"Utilities",2005,442.5
23,"Construction",2005,1472.1
311FT,"Food and beverage and tobacco products",2005,762.3
313TT,"Textile mills and textile product mills",2005,83.2
315AL,"Apparel and leather and allied products",2005,37.9
31G,"Manufacturing",2005,5183.4
31ND,"Nondurable goods",2005,2591.7
321,"Wood products",2005,102.5
322,"Paper products",2005,186.1
323,"Printing and related support activities",2005,105.8
324,"Petroleum and coal products",2005,493.9
325,"Chemical products",2005,706.7
326,"Plastics and rubber products",2005,223.1
327,"Nonmetallic mineral products",2005,128.6
331,"Primary metals",2005,218.5
332,"Fabricated metal products",2005,334.0
333,"Machinery",2005,340.9
334,"Computer and electronic products",2005,340.5
335,"Electrical equipment, appliances, and components",2005,129.2
3361MV,"Motor vehicles, bodies and trailers, and parts",2005,546.3
3364OT,"Other transportation equipment",2005,222.4
337,"Furniture and related products",2005,93.7
339,"Miscellaneous manufacturing",2005,154.5
33DG,"Durable goods",2005,2605.2
42,"Wholesale trade",2005,1281.1
441,"Motor vehicle and parts dealers",2005,221.3
445,"Food and beverage stores",2005,200.4
44RT,"Retail trade",2005,1341.7
452,"General merchandise stores",2005,185.6
481,"Air transportation",2005,146.4
482,"Rail transportation",2005,62.7
483,"Water transportation",2005,36.6
484,"Truck transportation",2005,280.0
485,"Transit and ground passenger transportation",2005,43.1
486,"Pipeline transportation",2005,27.2
487OS,"Other transportation and support activities",2005,169.9
48TW,"Transportation and warehousing",2005,824.1
493,"Warehousing and storage",2005,59.0
4A0,"Other retail",2005,734.5
51,"Information",2005,1127.5
511,"Publishing industries, except internet (includes software)",2005,299.6
512,"Motion picture and sound recording industries",2005,139.0
513,"Broadcasting and telecommunications",2005,590.1
514,"Data processing, internet publishing, and other information services",2005,99.9
52,"Finance and insurance",2005,1821.2
521CI,"Federal Reserve banks, credit intermediation, and related activities",2005,673.8
523,"Securities, commodity contracts, and investments",2005,408.9
524,"Insurance carriers and related activities",2005,646.3
525,"Funds, trusts, and other financial vehicles",2005,88.3
53,"Real estate and rental and leasing",2005,2691.9
531,"Real estate",2005,2418.5
