Industry,Industry Description,Year,GDP (Millions Chained 2009)
65,"Administrative and waste management services",2005,472
65,"Administrative and waste management services",2006,465
65,"Administrative and waste management services",2007,495
65,"Administrative and waste management services",2008,519
65,"Administrative and waste management services",2009,514
65,"Administrative and waste management services",2010,532
65,"Administrative and waste management services",2011,573
65,"Administrative and waste management services",2012,624
65,"Administrative and waste management services",2013,664
65,"Administrative and waste management services",2014,700
65,"Administrative and waste management services",2015,703
32,"Chemical products manufacturing",2005,128
32,"Chemical products manufacturing",2006,114
32,"Chemical products manufacturing",2007,105
32,"Chemical products manufacturing",2008,104
32,"Chemical products manufacturing",2009,84
32,"Chemical products manufacturing",2010,79
32,"Chemical products manufacturing",2011,83
32,"Chemical products manufacturing",2012,110
32,"Chemical products manufacturing",2013,115
32,"Chemical products manufacturing",2014,116
53,"Securities, commodity contracts, and investments",2005,146
53,"Securities, commodity contracts, and investments",2006,159
53,"Securities, commodity contracts, and investments",2007,139
53,"Securities, commodity contracts, and investments",2008,97
53,"Securities, commodity contracts, and investments",2009,138
53,"Securities, commodity contracts, and investments",2010,124
53,"Securities, commodity contracts, and investments",2011,114
53,"Securities, commodity contracts, and investments",2012,139
53,"Securities, commodity contracts, and investments",2013,120
53,"Securities, commodity contracts, and investments",2014,122
22,"Other transportation equipment manufacturing",2005,123
22,"Other transportation equipment manufacturing",2006,117
22,"Other transportation equipment manufacturing",2007,125
22,"Other transportation equipment manufacturing",2008,127
22,"Other transportation equipment manufacturing",2009,112
22,"Other transportation equipment manufacturing",2010,137
22,"Other transportation equipment manufacturing",2011,117
22,"Other transportation equipment manufacturing",2012,99
22,"Other transportation equipment manufacturing",2013,110
22,"Other transportation equipment manufacturing",2014,106
18,"Machinery manufacturing",2005,202
18,"Machinery manufacturing",2006,225
18,"Machinery manufacturing",2007,220
18,"Machinery manufacturing",2008,216
18,"Machinery manufacturing",2009,194
18,"Machinery manufacturing",2010,238
18,"Machinery manufacturing",2011,244
18,"Machinery manufacturing",2012,233
18,"Machinery manufacturing",2013,236
18,"Machinery manufacturing",2014,240
87,"Trade",2005,3585
87,"Trade",2006,3503
87,"Trade",2007,3418
87,"Trade",2008,3383
87,"Trade",2009,3190
87,"Trade",2010,3309
87,"Trade",2011,3352
87,"Trade",2012,3334
87,"Trade",2013,3416
87,"Trade",2014,3411
87,"Trade",2015,3509
25,"Nondurable goods manufacturing",2005,824
25,"Nondurable goods manufacturing",2006,953
25,"Nondurable goods manufacturing",2007,982
25,"Nondurable goods manufacturing",2008,963
25,"Nondurable goods manufacturing",2009,792
25,"Nondurable goods manufacturing",2010,822
25,"Nondurable goods manufacturing",2011,855
25,"Nondurable goods manufacturing",2012,779
25,"Nondurable goods manufacturing",2013,779
25,"Nondurable goods manufacturing",2014,834
25,"Nondurable goods manufacturing",2015,834
39,"Water transportation",2005,7
39,"Water transportation",2006,10
39,"Water transportation",2007,12
39,"Water transportation",2008,13
39,"Water transportation",2009,18
39,"Water transportation",2010,17
39,"Water transportation",2011,18
