Industry,Industry Description,Year,Intermediate Inputs (Billions Chained 2009)
11,"Agriculture, forestry, fishing, and hunting",2005,213.5
111CA,"Farms",2005,188.0
113FF,"Forestry, fishing, and related activities",2005,23.9
21,"Mining",2005,172.3
211,"Oil and gas extraction",2005,96.5
212,"Mining, except oil and gas",2005,48.5
213,"Support activities for mining",2005,23.2
22,"Utilities",2005,184.8
23,"Construction",2005,699.4
311FT,"Food and beverage and tobacco products",2005,549.3
313TT,"Textile mills and textile product mills",2005,60.9
315AL,"Apparel and leather and allied products",2005,24.9
31G,"Manufacturing",2005,3396.8
31ND,"Nondurable goods",2005,1733.6
321,"Wood products",2005,76.6
322,"Paper products",2005,121.3
323,"Printing and related support activities",2005,61.5
324,"Petroleum and coal products",2005,361.3
325,"Chemical products",2005,413.5
326,"Plastics and rubber products",2005,146.7
327,"Nonmetallic mineral products",2005,73.2
331,"Primary metals",2005,173.4
332,"Fabricated metal products",2005,183.8
333,"Machinery",2005,210.5
334,"Computer and electronic products",2005,193.0
335,"Electrical equipment, appliances, and components",2005,76.4
3361MV,"Motor vehicles, bodies and trailers, and parts",2005,423.6
3364OT,"Other transportation equipment",2005,123.8
337,"Furniture and related products",2005,54.6
339,"Miscellaneous manufacturing",2005,86.4
33DG,"Durable goods",2005,1675.3
42,"Wholesale trade",2005,388.8
441,"Motor vehicle and parts dealers",2005,52.4
445,"Food and beverage stores",2005,55.5
44RT,"Retail trade",2005,416.4
452,"General merchandise stores",2005,54.6
481,"Air transportation",2005,80.4
482,"Rail transportation",2005,26.3
483,"Water transportation",2005,33.6
484,"Truck transportation",2005,153.5
485,"Transit and ground passenger transportation",2005,14.4
486,"Pipeline transportation",2005,13.7
487OS,"Other transportation and support activities",2005,69.5
48TW,"Transportation and warehousing",2005,408.6
493,"Warehousing and storage",2005,16.5
4A0,"Other retail",2005,253.3
51,"Information",2005,508.2
511,"Publishing industries, except internet (includes software)",2005,117.9
512,"Motion picture and sound recording industries",2005,76.1
513,"Broadcasting and telecommunications",2005,285.3
514,"Data processing, internet publishing, and other information services",2005,28.7
52,"Finance and insurance",2005,866.3
521CI,"Federal Reserve banks, credit intermediation, and related activities",2005,299.1
523,"Securities, commodity contracts, and investments",2005,197.3
524,"Insurance carriers and related activities",2005,301.4
525,"Funds, trusts, and other financial vehicles",2005,68.3
53,"Real estate and rental and leasing",2005,898.5
531,"Real estate",2005,790.1
532RL,"Rental and leasing services and lessors of intangible assets",2005,108.5
54,"Professional, scientific, and technical services",2005,541.6
5411,"Legal services",2005,79.6
5412OP,"Miscellaneous professional, scientific, and technical services",2005,383.2
5415,"Computer systems design and related services",2005,78.8
55,"Management of companies and enterprises",2005,142.9
56,"Administrative and waste management services",2005,217.2
561,"Administrative and support services",2005,180.8
562,"Waste management and remediation services",2005,36.3
6,"Educational services, health care, and social assistance",2005,687.2
61,"Educational services",2005,77.0
62,"Health care and social assistance",2005,610.4
621,"Ambulatory health care services",2005,270.1
622,"Hospitals",2005,230.7
623,"Nursing and residential care facilities",2005,61.0
624,"Social assistance",2005,48.7
7,"Arts, entertainment, recreation, accommodation, and food services",2005,405.2
71,"Arts, entertainment, and recreation",2005,85.1
711AS,"Performing arts, spectator sports, museums, and related activities",2005,43.5
713,"Amusements, gambling, and recreation industries",2005,41.6
72,"Accommodation and food services",2005,320.4
721,"Accommodation",2005,78.4
722,"Food services and drinking places",2005,242.0
81,"Other services, except government",2005,198.7
FIRE,"Finance, insurance, real estate, rental, and leasing",2005,1765.5
G,"Government",2005,1016.5
GF,"Federal",2005,326.3
GFE,"Government enterprises",2005,24.7
GFG,"General government",2005,301.7
GFGD,"National defense",2005,212.8
GFGN,"Nondefense",2005,88.8
GSL,"State and local",2005,689.6
GSLE,"Government enterprises",2005,113.3
GSLG,"General government",2005,577.4
HS,"Housing",2005,130.6
ICT,"Information-communications-technology-producing industries [4]",2005,573.2
II,"All industries",2005,11388.0
NABI,"Not allocated by industry [1]",2005,13.3
ORE,"Other real estate",2005,659.9
PGOOD,"Private goods-producing industries [2]",2005,4484.9
PROF,"Professional and business services",2005,901.4
PSERV,"Private services-producing industries [3]",2005,5874.2
PVT,"Private industries",2005,10368.9
11,"Agriculture, forestry, fishing, and hunting",2006,209.3
111CA,"Farms",2006,189.2
113FF,"Forestry, fishing, and related activities",2006,19.3
21,"Mining",2006,165.0
211,"Oil and gas extraction",2006,82.6
212,"Mining, except oil and gas",2006,52.4
213,"Support activities for mining",2006,28.5
22,"Utilities",2006,157.8
23,"Construction",2006,684.0
311FT,"Food and beverage and tobacco products",2006,530.7
313TT,"Textile mills and textile product mills",2006,53.7
315AL,"Apparel and leather and allied products",2006,22.9
31G,"Manufacturing",2006,3381.6
31ND,"Nondurable goods",2006,1709.9
321,"Wood products",2006,78.7
322,"Paper products",2006,116.1
323,"Printing and related support activities",2006,58.4
324,"Petroleum and coal products",2006,380.5
325,"Chemical products",2006,401.0
326,"Plastics and rubber products",2006,151.3
327,"Nonmetallic mineral products",2006,81.0
331,"Primary metals",2006,176.0
332,"Fabricated metal products",2006,196.5
333,"Machinery",2006,218.2
334,"Computer and electronic products",2006,190.7
335,"Electrical equipment, appliances, and components",2006,68.5
3361MV,"Motor vehicles, bodies and trailers, and parts",2006,411.8
3364OT,"Other transportation equipment",2006,124.1
337,"Furniture and related products",2006,52.6
339,"Miscellaneous manufacturing",2006,86.2
33DG,"Durable goods",2006,1683.7
42,"Wholesale trade",2006,400.0
441,"Motor vehicle and parts dealers",2006,49.7
445,"Food and beverage stores",2006,59.6
44RT,"Retail trade",2006,435.9
452,"General merchandise stores",2006,60.9
481,"Air transportation",2006,81.1
482,"Rail transportation",2006,27.6
483,"Water transportation",2006,30.9
484,"Truck transportation",2006,153.6
485,"Transit and ground passenger transportation",2006,16.7
486,"Pipeline transportation",2006,13.2
487OS,"Other transportation and support activities",2006,76.1
48TW,"Transportation and warehousing",2006,421.5
493,"Warehousing and storage",2006,21.8
4A0,"Other retail",2006,265.1
51,"Information",2006,530.5
511,"Publishing industries, except internet (includes software)",2006,135.2
512,"Motion picture and sound recording industries",2006,72.4
513,"Broadcasting and telecommunications",2006,292.1
514,"Data processing, internet publishing, and other information services",2006,30.6
52,"Finance and insurance",2006,915.5
521CI,"Federal Reserve banks, credit intermediation, and related activities",2006,301.0
523,"Securities, commodity contracts, and investments",2006,230.5
524,"Insurance carriers and related activities",2006,305.5
525,"Funds, trusts, and other financial vehicles",2006,78.1
53,"Real estate and rental and leasing",2006,897.6
531,"Real estate",2006,806.5
532RL,"Rental and leasing services and lessors of intangible assets",2006,91.4
54,"Professional, scientific, and technical services",2006,549.9
5411,"Legal services",2006,79.1
5412OP,"Miscellaneous professional, scientific, and technical services",2006,395.2
5415,"Computer systems design and related services",2006,75.6
55,"Management of companies and enterprises",2006,151.2
56,"Administrative and waste management services",2006,234.6
561,"Administrative and support services",2006,190.5
562,"Waste management and remediation services",2006,44.2
6,"Educational services, health care, and social assistance",2006,698.6
61,"Educational services",2006,82.8
62,"Health care and social assistance",2006,615.9
621,"Ambulatory health care services",2006,264.7
622,"Hospitals",2006,237.9
623,"Nursing and residential care facilities",2006,62.8
624,"Social assistance",2006,50.5
7,"Arts, entertainment, recreation, accommodation, and food services",2006,422.1
71,"Arts, entertainment, and recreation",2006,94.8
711AS,"Performing arts, spectator sports, museums, and related activities",2006,45.9
713,"Amusements, gambling, and recreation industries",2006,48.9
72,"Accommodation and food services",2006,327.4
721,"Accommodation",2006,79.5
722,"Food services and drinking places",2006,247.9
81,"Other services, except government",2006,205.0
FIRE,"Finance, insurance, real estate, rental, and leasing",2006,1813.7
G,"Government",2006,1046.5
GF,"Federal",2006,338.6
GFE,"Government enterprises",2006,27.8
GFG,"General government",2006,310.8
GFGD,"National defense",2006,218.0
GFGN,"Nondefense",2006,92.9
GSL,"State and local",2006,707.3
GSLE,"Government enterprises",2006,121.3
GSLG,"General government",2006,586.7
HS,"Housing",2006,135.2
ICT,"Information-communications-technology-producing industries [4]",2006,584.2
II,"All industries",2006,11527.2
NABI,"Not allocated by industry [1]",2006,6.6
ORE,"Other real estate",2006,671.7
PGOOD,"Private goods-producing industries [2]",2006,4442.7
PROF,"Professional and business services",2006,935.4
PSERV,"Private services-producing industries [3]",2006,6023.7
PVT,"Private industries",2006,10478.3
11,"Agriculture, forestry, fishing, and hunting",2007,225.2
111CA,"Farms",2007,209.6
113FF,"Forestry, fishing, and related activities",2007,15.5
21,"Mining",2007,149.7
211,"Oil and gas extraction",2007,75.6
212,"Mining, except oil and gas",2007,47.9
213,"Support activities for mining",2007,24.7
22,"Utilities",2007,172.4
23,"Construction",2007,633.8
311FT,"Food and beverage and tobacco products",2007,532.0
313TT,"Textile mills and textile product mills",2007,45.3
315AL,"Apparel and leather and allied products",2007,15.3
31G,"Manufacturing",2007,3457.7
31ND,"Nondurable goods",2007,1742.1
321,"Wood products",2007,69.1
322,"Paper products",2007,121.7
323,"Printing and related support activities",2007,58.6
324,"Petroleum and coal products",2007,392.4
325,"Chemical products",2007,432.9
326,"Plastics and rubber products",2007,146.2
327,"Nonmetallic mineral products",2007,80.4
331,"Primary metals",2007,185.4
332,"Fabricated metal products",2007,204.8
333,"Machinery",2007,222.6
334,"Computer and electronic products",2007,203.5
335,"Electrical equipment, appliances, and components",2007,75.9
3361MV,"Motor vehicles, bodies and trailers, and parts",2007,400.2
3364OT,"Other transportation equipment",2007,151.8
337,"Furniture and related products",2007,51.7
339,"Miscellaneous manufacturing",2007,83.3
33DG,"Durable goods",2007,1728.0
42,"Wholesale trade",2007,417.4
441,"Motor vehicle and parts dealers",2007,48.7
445,"Food and beverage stores",2007,63.6
44RT,"Retail trade",2007,452.8
452,"General merchandise stores",2007,71.6
481,"Air transportation",2007,83.6
482,"Rail transportation",2007,28.4
483,"Water transportation",2007,33.8
484,"Truck transportation",2007,158.2
485,"Transit and ground passenger transportation",2007,18.6
