Industry,Industry Description,Year,Value Added (Billions Chained 2009)
11,"Agriculture, forestry, fishing, and hunting",2005,127.2
111CA,"Farms",2005,101.6
113FF,"Forestry, fishing, and related activities",2005,26.2
21,"Mining",2005,212.9
211,"Oil and gas extraction",2005,120.9
212,"Mining, except oil and gas",2005,69.5
213,"Support activities for mining",2005,31.0
22,"Utilities",2005,250.6
23,"Construction",2005,772.8
311FT,"Food and beverage and tobacco products",2005,212.1
313TT,"Textile mills and textile product mills",2005,22.2
315AL,"Apparel and leather and allied products",2005,13.2
31G,"Manufacturing",2005,1776.7
31ND,"Nondurable goods",2005,850.5
321,"Wood products",2005,26.1
322,"Paper products",2005,64.9
323,"Printing and related support activities",2005,44.6
324,"Petroleum and coal products",2005,127.4
325,"Chemical products",2005,284.8
326,"Plastics and rubber products",2005,75.8
327,"Nonmetallic mineral products",2005,55.0
331,"Primary metals",2005,44.3
332,"Fabricated metal products",2005,151.9
333,"Machinery",2005,129.9
334,"Computer and electronic products",2005,153.8
335,"Electrical equipment, appliances, and components",2005,51.9
3361MV,"Motor vehicles, bodies and trailers, and parts",2005,129.5
3364OT,"Other transportation equipment",2005,98.6
337,"Furniture and related products",2005,39.6
339,"Miscellaneous manufacturing",2005,68.0
33DG,"Durable goods",2005,930.2
42,"Wholesale trade",2005,889.6
441,"Motor vehicle and parts dealers",2005,168.6
445,"Food and beverage stores",2005,145.5
44RT,"Retail trade",2005,925.0
452,"General merchandise stores",2005,130.0
481,"Air transportation",2005,66.0
482,"Rail transportation",2005,36.2
483,"Water transportation",2005,5.6
484,"Truck transportation",2005,126.2
485,"Transit and ground passenger transportation",2005,29.0
486,"Pipeline transportation",2005,12.7
487OS,"Other transportation and support activities",2005,100.4
48TW,"Transportation and warehousing",2005,414.4
493,"Warehousing and storage",2005,42.7
4A0,"Other retail",2005,481.0
51,"Information",2005,620.4
511,"Publishing industries, except internet (includes software)",2005,181.5
512,"Motion picture and sound recording industries",2005,63.1
513,"Broadcasting and telecommunications",2005,306.9
514,"Data processing, internet publishing, and other information services",2005,70.5
